"","Year","Medal","Time","Record","Event","Name","Athlete.Country","Host.City","Host.Country"
"1",2016,"Gold",9.81,NA,"100 metres","Usain Bolt","Jamaica","Rio de Janeiro","Brazil"
"2",2016,"Gold",19.78,NA,"200 metres","Usain Bolt","Jamaica","Rio de Janeiro","Brazil"
"3",2016,"Gold",43.03,NA,"400 metres","Wayde van","Niekerk South Africa","Rio de Janeiro","Brazil"
"4",2016,"Gold",NA,NA,"800 metres","David Rudisha","Kenya","Rio de Janeiro","Brazil"
"5",2016,"Gold",NA,NA,"1500 metres","Matthew Centrowitz","Jr. United States","Rio de Janeiro","Brazil"
"6",2016,"Gold",NA,NA,"5000 metres","Mo Farah","Great Britain","Rio de Janeiro","Brazil"
"7",2016,"Gold",NA,NA,"10,000 metres","Mo Farah","Great Britain","Rio de Janeiro","Brazil"
"8",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"9",2016,"Gold",13.05,NA,"110 metres hurdles","Omar McLeod","Jamaica","Rio de Janeiro","Brazil"
"10",2016,"Gold",47.73,NA,"400 metres hurdles","Kerron Clement","United States","Rio de Janeiro","Brazil"
"11",2016,"Gold",NA,NA,"3000 metres steeplechase","Conseslus Kipruto","Kenya","Rio de Janeiro","Brazil"
"12",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"13",2016,"Gold",37.27,NA,"4 × 100 metres relay","Jamaica (JAM)Asafa","PowellYohan BlakeNickel AshmeadeUsain BoltJevaughn Minzie*Kemar Bailey-Cole*","Rio de Janeiro","Brazil"
"14",2016,"Gold",NA,NA,"4 × 400 metres relay","United States","(USA)Arman HallTony McQuayGil RobertsLaShawn MerrittKyle Clemons*David Verburg*","Rio de Janeiro","Brazil"
"15",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"16",2016,"Gold",NA,NA,"Marathon","Eliud Kipchoge","Kenya","Rio de Janeiro","Brazil"
"17",2016,"Gold",NA,NA,"20 kilometres walk","Wang Zhen","China","Rio de Janeiro","Brazil"
"18",2016,"Gold",NA,NA,"50 kilometres walk","Matej Tóth","Slovakia","Rio de Janeiro","Brazil"
"19",2016,"Gold",NA,NA,""," NA",NA,"Rio de Janeiro","Brazil"
"20",2016,"Gold",2.38,NA,"High jump","Derek Drouin","Canada","Rio de Janeiro","Brazil"
"21",2016,"Gold",NA,NA,"Pole vault","Thiago Braz","da Silva Brazil","Rio de Janeiro","Brazil"
"22",2016,"Gold",8.38,NA,"Long jump","Jeff Henderson","United States","Rio de Janeiro","Brazil"
"23",2016,"Gold",17.86,NA,"Triple jump","Christian Taylor","United States","Rio de Janeiro","Brazil"
